event_id,event_name,tier,category,sub_category,format,scope,location_city,location_country,location_venue,date_start,date_end,registration_deadline,season_quarter,months_from_now,entry_cost_brl,entry_cost_usd,travel_cost_brl,total_cost_brl,prize_pool_usd,prize_1st_usd,prize_type,reward_employment,reward_scholarship,reward_certification,reward_mentorship,eligibility,eligibility_detail,team_size_min,team_size_max,ai_required,tech_stack_required,platform_url,source_file,scholarship_weight_0_10,employment_weight_0_10,storytelling_weight_0_10,innovation_weight_0_10,status,notes
HK01,Microsoft Imagine Cup 2026 – Launch Path,S,startup,ai_product,hybrid,global,,global,,2026-01-09,2026-05-31,2026-01-09,Q1-Q2,0,0,0,0,0,50000,50000,cash+azure_credits,yes,no,yes,yes,student,Enrolled student 18+ — must use 2+ Microsoft AI services,1,4,required,Microsoft Azure AI,https://imaginecup.microsoft.com/,Competitive Programming Hackathon Information.md,7,8,8,9,mvp_submitted,MVP round closed Jan 9 — semifinals Feb 10 to Apr 7 — $5000 Azure credits for all
HK02,Microsoft Imagine Cup 2026 – Scale Path,S,startup,ai_product,hybrid,global,,global,,2026-01-09,2026-05-31,2026-01-09,Q1-Q2,0,0,0,0,0,100000,100000,cash+mentorship,yes,no,yes,yes,student,Startup with users or up to $5M dilutive funding,1,4,required,Microsoft Azure AI,https://imaginecup.microsoft.com/,Competitive Programming Hackathon Information.md,8,9,9,10,mvp_submitted,$100k grand prize + private session with Satya Nadella
HK03,Amazon Nova AI Challenge 2026 – Trusted Software Agents,S,agentic_ai,autonomous_systems,hybrid,global,,global,,2026-01-01,2026-12-31,,Q1-Q4,0,0,0,0,0,0,0,recognition+recruitment,yes,no,yes,yes,university,10 university teams selected — dev teams vs red teams,5,10,required,Amazon Nova / Bedrock,https://www.amazon.science/nova-ai-challenge/,Competitive Programming Hackathon Information.md,7,10,8,10,active,Multi-step agentic coding — real-world engineering workflows — trust & safety focus
HK04,AWS AI League 2026 Championship,A,agentic_ai,enterprise_ai,online,global,,global,online,2026-01-01,2026-12-31,,Q1-Q4,0,0,0,0,0,50000,0,cash,yes,no,yes,no,open,Model customization (SageMaker) + Agentic AI (Bedrock AgentCore),1,4,required,AWS SageMaker / Bedrock,,Competitive Programming Hackathon Information.md,4,8,5,8,active,Doubled prize pool to $50k — gamified business challenge format
HK05,Amazon ML Challenge 2026 (India),B,ml_challenge,data_science,online,regional,,India,online,2026-01-01,2026-12-31,,Q1-Q4,0,0,0,0,0,1200,1200,cash+jobs,yes,no,no,no,student,Indian students — Amazon proprietary datasets,1,1,required,Python/ML,https://unstop.com/hackathons/amazon-ml-challenge/,Competitive Programming Hackathon Information.md,3,9,4,6,active,₹1L top prize + pre-placement Applied Scientist Intern interviews
HK06,DeveloperWeek 2026 Hackathon,A,hackathon,challenge_driven,hybrid,global,San Jose,USA,San Jose Convention Center,2026-02-02,2026-02-20,2026-02-20,Q1,0,0,0,0,0,12500,1500,cash+hardware+credits,no,no,yes,no,open,Virtual or in-person — 95% build web/mobile,1,5,optional,Sponsor APIs (Kilo/Replit/Akamai),https://www.developerweek.com/hackathon/,web_research,3,6,5,7,active,$9000+ in prizes — 800+ participants — sponsor specific challenges
HK07,LA Hacks 2026,A,hackathon,general,in_person,national,Los Angeles,USA,UCLA,2026-04-24,2026-04-26,,Q2,2,0,0,0,0,60000,0,cash,no,no,yes,no,student,Collegiate student,1,5,optional,,https://lahacks.com/,Competitive Programming Hackathon Information.md,5,7,6,7,upcoming,$60k prize pool — premier US collegiate hackathon
HK08,MLH Global Hack Week – Data Week,B,hackathon,themed_week,online,global,,global,online,2026-02-13,2026-02-19,,Q1,0,0,0,0,0,0,0,hardware+swag,no,no,yes,no,open,100% free for anyone anywhere,1,5,optional,Any,https://ghw.mlh.io/,web_research,2,4,3,5,active,Portfolio building — Ledger Nano / Google Swag — sponsor API prizes
HK09,MLH Global Hack Week – Cloud Week,B,hackathon,themed_week,online,global,,global,online,2026-03-13,2026-03-19,,Q1,1,0,0,0,0,0,0,hardware+swag,no,no,yes,no,open,100% free,1,5,optional,Cloud APIs,https://ghw.mlh.io/,web_research,2,4,3,5,upcoming,Cloud infrastructure focus
HK10,MLH Global Hack Week – API Week,B,hackathon,themed_week,online,global,,global,online,2026-04-10,2026-04-16,,Q2,2,0,0,0,0,0,0,hardware+swag,no,no,yes,no,open,100% free,1,5,optional,Various APIs,https://ghw.mlh.io/,web_research,2,4,3,5,upcoming,API integration focus
